"X1","X2","Weight"
-0.68,0.88,42.62336
-0.68,0.92,42.32704
-0.68,0.96,42.016
-0.68,1,41.69024
-0.64,-1,40.17856
-0.64,-0.96,40.57664
-0.64,-0.92,40.96
-0.64,-0.88,41.32864
-0.64,-0.84,41.68256
-0.64,-0.8,42.02176
-0.64,-0.76,42.34624
-0.64,-0.72,42.656
-0.64,-0.68,42.95104
-0.64,-0.64,43.23136
-0.64,-0.6,43.49696
-0.64,-0.56,43.74784
-0.64,-0.52,43.984
-0.64,-0.48,44.20544
-0.64,-0.44,44.41216
-0.64,-0.4,44.60416
-0.64,-0.36,44.78144
-0.64,-0.32,44.944
-0.64,-0.28,45.09184
-0.64,-0.24,45.22496
-0.64,-0.2,45.34336
-0.64,-0.16,45.44704
-0.64,-0.12,45.536
-0.64,-0.08,45.61024
-0.64,-0.04,45.66976
-0.64,0,45.71456
-0.64,0.04,45.74464
-0.64,0.08,45.76
-0.64,0.12,45.76064
-0.64,0.16,45.74656
-0.64,0.2,45.71776
-0.64,0.24,45.67424
-0.64,0.28,45.616
-0.64,0.32,45.54304
-0.64,0.36,45.45536
-0.64,0.4,45.35296
-0.64,0.44,45.23584
-0.64,0.48,45.104
-0.64,0.52,44.95744
-0.64,0.56,44.79616
-0.64,0.6,44.62016
-0.64,0.64,44.42944
-0.64,0.68,44.224
-0.64,0.72,44.00384
-0.64,0.76,43.76896
-0.64,0.8,43.51936
-0.64,0.84,43.25504
-0.64,0.88,42.976
-0.64,0.92,42.68224
-0.64,0.96,42.37376
-0.64,1,42.05056
-0.6,-1,40.4
-0.6,-0.96,40.80064
-0.6,-0.92,41.18656
-0.6,-0.88,41.55776
-0.6,-0.84,41.91424
-0.6,-0.8,42.256
-0.6,-0.76,42.58304
-0.6,-0.72,42.89536
-0.6,-0.68,43.19296
-0.6,-0.64,43.47584
-0.6,-0.6,43.744
-0.6,-0.56,43.99744
-0.6,-0.52,44.23616
-0.6,-0.48,44.46016
-0.6,-0.44,44.66944
-0.6,-0.4,44.864
-0.6,-0.36,45.04384
-0.6,-0.32,45.20896
-0.6,-0.28,45.35936
-0.6,-0.24,45.49504
-0.6,-0.2,45.616
-0.6,-0.16,45.72224
-0.6,-0.12,45.81376
-0.6,-0.08,45.89056
-0.6,-0.04,45.95264
-0.6,0,46
-0.6,0.04,46.03264
-0.6,0.08,46.05056
-0.6,0.12,46.05376
-0.6,0.16,46.04224
-0.6,0.2,46.016
-0.6,0.24,45.97504
-0.6,0.28,45.91936
-0.6,0.32,45.84896
-0.6,0.36,45.76384
-0.6,0.4,45.664
-0.6,0.44,45.54944
-0.6,0.48,45.42016
-0.6,0.52,45.27616
-0.6,0.56,45.11744
-0.6,0.6,44.944
-0.6,0.64,44.75584
-0.6,0.68,44.55296
-0.6,0.72,44.33536
-0.6,0.76,44.10304
-0.6,0.8,43.856
-0.6,0.84,43.59424
-0.6,0.88,43.31776
-0.6,0.92,43.02656
-0.6,0.96,42.72064
-0.6,1,42.4
-0.56,-1,40.61056
-0.56,-0.96,41.01376
-0.56,-0.92,41.40224
-0.56,-0.88,41.776
-0.56,-0.84,42.13504
-0.56,-0.8,42.47936
-0.56,-0.76,42.80896
-0.56,-0.72,43.12384
-0.56,-0.68,43.424
-0.56,-0.64,43.70944
-0.56,-0.6,43.98016
-0.56,-0.56,44.23616
-0.56,-0.52,44.47744
-0.56,-0.48,44.704
-0.56,-0.44,44.91584
-0.56,-0.4,45.11296
-0.56,-0.36,45.29536
-0.56,-0.32,45.46304
-0.56,-0.28,45.616
-0.56,-0.24,45.75424
-0.56,-0.2,45.87776
-0.56,-0.16,45.98656
-0.56,-0.12,46.08064
-0.56,-0.08,46.16
-0.56,-0.04,46.22464
-0.56,0,46.27456
-0.56,0.04,46.30976
-0.56,0.08,46.33024
-0.56,0.12,46.336
-0.56,0.16,46.32704
-0.56,0.2,46.30336
-0.56,0.24,46.26496
-0.56,0.28,46.21184
-0.56,0.32,46.144
-0.56,0.36,46.06144
-0.56,0.4,45.96416
-0.56,0.44,45.85216
-0.56,0.48,45.72544
-0.56,0.52,45.584
-0.56,0.56,45.42784
-0.56,0.6,45.25696
-0.56,0.64,45.07136
-0.56,0.68,44.87104
-0.56,0.72,44.656
-0.56,0.76,44.42624
-0.56,0.8,44.18176
-0.56,0.84,43.92256
-0.56,0.88,43.64864
-0.56,0.92,43.36
-0.56,0.96,43.05664
-0.56,1,42.73856
-0.52,-1,40.81024
-0.52,-0.96,41.216
-0.52,-0.92,41.60704
-0.52,-0.88,41.98336
-0.52,-0.84,42.34496
-0.52,-0.8,42.69184
-0.52,-0.76,43.024
-0.52,-0.72,43.34144
-0.52,-0.68,43.64416
-0.52,-0.64,43.93216
-0.52,-0.6,44.20544
-0.52,-0.56,44.464
-0.52,-0.52,44.70784
-0.52,-0.48,44.93696
-0.52,-0.44,45.15136
-0.52,-0.4,45.35104
-0.52,-0.36,45.536
-0.52,-0.32,45.70624
-0.52,-0.28,45.86176
-0.52,-0.24,46.00256
-0.52,-0.2,46.12864
-0.52,-0.16,46.24
-0.52,-0.12,46.33664
-0.52,-0.08,46.41856
-0.52,-0.04,46.48576
-0.52,0,46.53824
-0.52,0.04,46.576
-0.52,0.08,46.59904
-0.52,0.12,46.60736
-0.52,0.16,46.60096
-0.52,0.2,46.57984
-0.52,0.24,46.544
-0.52,0.28,46.49344
-0.52,0.32,46.42816
-0.52,0.36,46.34816
-0.52,0.4,46.25344
-0.52,0.44,46.144
-0.52,0.48,46.01984
-0.52,0.52,45.88096
-0.52,0.56,45.72736
-0.52,0.6,45.55904
-0.52,0.64,45.376
-0.52,0.68,45.17824
-0.52,0.72,44.96576
-0.52,0.76,44.73856
-0.52,0.8,44.49664
-0.52,0.84,44.24
-0.52,0.88,43.96864
-0.52,0.92,43.68256
-0.52,0.96,43.38176
-0.52,1,43.06624
-0.48,-1,40.99904
-0.48,-0.96,41.40736
-0.48,-0.92,41.80096
-0.48,-0.88,42.17984
-0.48,-0.84,42.544
-0.48,-0.8,42.89344
-0.48,-0.76,43.22816
-0.48,-0.72,43.54816
-0.48,-0.68,43.85344
-0.48,-0.64,44.144
-0.48,-0.6,44.41984
-0.48,-0.56,44.68096
-0.48,-0.52,44.92736
-0.48,-0.48,45.15904
-0.48,-0.44,45.376
-0.48,-0.4,45.57824
-0.48,-0.36,45.76576
-0.48,-0.32,45.93856
-0.48,-0.28,46.09664
-0.48,-0.24,46.24
-0.48,-0.2,46.36864
-0.48,-0.16,46.48256
-0.48,-0.12,46.58176
-0.48,-0.08,46.66624
-0.48,-0.04,46.736
-0.48,0,46.79104
-0.48,0.04,46.83136
-0.48,0.08,46.85696
-0.48,0.12,46.86784
-0.48,0.16,46.864
-0.48,0.2,46.84544
-0.48,0.24,46.81216
-0.48,0.28,46.76416
